Architecture,Requests,Users,Throughput (req/s),Success Rate (%),Mean (s),P50 (s),P95 (s)
Event-Driven,1,50,117.76,100.0,0.148,0.108,0.252
Event-Driven,1,100,117.68,100.0,0.298,0.365,0.522
Event-Driven,1,150,112.21,100.0,0.452,0.542,0.844
Event-Driven,1,200,104.25,100.0,0.779,0.911,1.363
Event-Driven,1,250,104.95,100.0,0.849,1.075,1.579
Event-Driven,1,300,107.44,100.0,0.979,1.227,1.746
Event-Driven,10,50,132.07,100.0,0.238,0.058,1.637
Event-Driven,10,100,136.42,100.0,0.455,0.056,3.718
Event-Driven,10,150,127.45,100.0,0.72,0.056,5.98
Event-Driven,10,200,136.08,100.0,0.938,0.054,7.745
Event-Driven,10,250,129.79,100.0,1.156,0.057,9.343
Event-Driven,10,300,132.25,100.0,1.352,0.056,11.477
Event-Driven,20,50,127.48,100.0,0.284,0.069,2.485
Event-Driven,20,100,125.63,100.0,0.587,0.064,5.241
Event-Driven,20,150,132.69,100.0,0.807,0.063,7.729
Event-Driven,20,200,130.14,100.0,1.134,0.064,10.206
Event-Driven,20,250,123.08,100.0,1.454,0.065,14.359
Event-Driven,20,300,130.81,100.0,1.612,0.063,15.403
Event-Driven,30,50,131.07,100.0,0.3,0.065,2.479
Event-Driven,30,100,79.65,99.73,0.557,0.07,4.924
Event-Driven,30,150,134.57,100.0,0.844,0.062,7.996
Event-Driven,30,200,98.03,99.55,1.128,0.066,10.735
Event-Driven,30,250,134.06,100.0,1.394,0.064,13.888
Event-Driven,30,300,125.97,100.0,1.824,0.066,18.593
Event-Driven,40,50,123.92,100.0,0.327,0.068,2.787
Event-Driven,40,100,128.44,100.0,0.618,0.064,5.649
Event-Driven,40,150,123.83,100.0,0.935,0.067,8.642
Event-Driven,40,200,126.94,100.0,1.229,0.066,12.375
Event-Driven,40,250,127.59,94.7,1.585,0.069,13.223
Event-Driven,40,300,123.76,99.98,1.932,0.068,20.277
Event-Driven,50,50,55.93,100.0,0.38,0.416,0.7
Event-Driven,50,100,128.12,100.0,0.632,0.065,5.613
Event-Driven,50,150,134.95,100.0,0.903,0.062,8.746
Event-Driven,50,200,133.22,100.0,1.175,0.064,12.298
Event-Driven,50,250,126.3,100.0,1.597,0.069,16.607
Event-Driven,50,300,124.88,100.0,1.948,0.069,20.258
