Architecture,Requests,Users,Throughput (req/s),Success Rate (%),Mean (s),P50 (s),P95 (s)
Request-Response,1,50,98.51,100.0,0.406,0.428,0.437
Request-Response,1,100,119.8,100.0,0.353,0.302,0.566
Request-Response,1,150,148.4,100.0,0.435,0.463,0.693
Request-Response,1,200,122.08,100.0,0.602,0.597,1.189
Request-Response,1,250,132.12,100.0,0.739,0.693,1.369
Request-Response,1,300,126.23,100.0,0.928,0.875,1.678
Request-Response,10,50,113.11,100.0,0.42,0.382,0.659
Request-Response,10,100,144.34,100.0,0.646,0.683,0.727
Request-Response,10,150,120.96,100.0,1.148,1.225,1.335
Request-Response,10,200,122.6,100.0,1.502,1.59,1.703
Request-Response,10,250,123.74,100.0,1.869,2.02,2.111
Request-Response,10,300,119.71,100.0,2.307,2.437,2.838
Request-Response,20,50,136.08,100.0,0.357,0.36,0.403
Request-Response,20,100,128.55,100.0,0.752,0.768,0.876
Request-Response,20,150,123.65,100.0,1.173,1.205,1.327
Request-Response,20,200,122.14,100.0,1.564,1.583,1.741
Request-Response,20,250,122.36,100.0,1.958,2.032,2.123
Request-Response,20,300,120.05,97.92,2.382,2.443,3.038
Request-Response,30,50,116.64,100.0,0.422,0.416,0.563
Request-Response,30,100,125.47,100.0,0.778,0.778,0.953
Request-Response,30,150,123.42,100.0,1.184,1.199,1.35
Request-Response,30,200,120.8,100.0,1.608,1.626,1.801
Request-Response,30,250,131.34,91.71,1.897,1.985,2.156
Request-Response,30,300,128.32,96.13,2.339,2.414,2.626
Request-Response,40,50,115.56,100.0,0.426,0.428,0.514
Request-Response,40,100,207.02,66.62,0.629,0.695,0.783
Request-Response,40,150,122.85,100.0,1.195,1.204,1.35
Request-Response,40,200,120.08,100.0,1.636,1.648,1.923
Request-Response,40,250,119.91,100.0,2.039,2.051,2.279
Request-Response,40,300,220.46,59.13,1.891,2.277,2.593
Request-Response,50,50,128.15,100.0,0.2,0.199,0.285
Request-Response,50,100,168.59,81.74,0.673,0.706,0.789
Request-Response,50,150,229.41,54.68,0.942,1.049,1.333
Request-Response,50,200,146.53,85.1,1.509,1.583,1.763
Request-Response,50,250,167.55,73.73,1.879,2.029,2.141
Request-Response,50,300,312.72,41.41,1.977,2.293,2.697
